======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet18
Checkpoint: ./model/resnet18-unet-ori/resnet18_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.1848 ± 0.1675
DICE: 0.2821 ± 0.2137
ACCURACY: 0.4698 ± 0.2160
PRECISION: 0.2003 ± 0.1935
RECALL: 0.8923 ± 0.1944
F1: 0.2821 ± 0.2137


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00081             0.5635   0.7208   0.8573   0.5635   1.0000   0.7208
00081_style0      0.3731   0.5434   0.6903   0.3731   1.0000   0.5434
00081_style1      0.2387   0.3853   0.4121   0.2387   1.0000   0.3853
00081_style2      0.2233   0.3650   0.3589   0.2233   1.0000   0.3650
00081_style3      0.2337   0.3789   0.3958   0.2337   1.0000   0.3789
00081_style4      0.4327   0.6040   0.7584   0.4327   1.0000   0.6040
00081_style5      0.3596   0.5290   0.6718   0.3596   1.0000   0.5290
00081_style6      0.3336   0.5003   0.6319   0.3336   1.0000   0.5003
00081_style7      0.2557   0.4073   0.6982   0.3192   0.5626   0.4073
00089             0.2479   0.3973   0.6791   0.2848   0.6566   0.3973
00089_style0      0.2186   0.3588   0.5134   0.2277   0.8451   0.3588
00089_style1      0.1765   0.3000   0.3384   0.1808   0.8801   0.3000
00089_style2      0.1784   0.3028   0.2747   0.1792   0.9779   0.3028
00089_style3      0.1796   0.3044   0.2756   0.1801   0.9840   0.3044
00089_style4      0.1936   0.3244   0.5053   0.2079   0.7372   0.3244
00089_style5      0.2253   0.3677   0.4919   0.2300   0.9171   0.3677
00089_style6      0.1944   0.3255   0.4875   0.2065   0.7677   0.3255
00089_style7      0.0834   0.1540   0.5999   0.1168   0.2260   0.1540
00094             0.1060   0.1917   0.8595   0.2409   0.1592   0.1917
00094_style0      0.1194   0.2133   0.3760   0.1228   0.8081   0.2133
00094_style1      0.1297   0.2296   0.3405   0.1308   0.9391   0.2296
00094_style2      0.1174   0.2102   0.2279   0.1177   0.9813   0.2102
00094_style3      0.1144   0.2054   0.2004   0.1146   0.9872   0.2054
00094_style4      0.1895   0.3186   0.5934   0.1932   0.9082   0.3186
00094_style5      0.1471   0.2565   0.4420   0.1490   0.9196   0.2565
00094_style6      0.1393   0.2445   0.4241   0.1417   0.8905   0.2445
00094_style7      0.0893   0.1640   0.6719   0.1118   0.3075   0.1640
00095             0.3604   0.5299   0.9462   0.3786   0.8827   0.5299
00095_style0      0.0515   0.0979   0.3677   0.0515   1.0000   0.0979
00095_style1      0.0429   0.0823   0.2351   0.0429   1.0000   0.0823
00095_style2      0.0411   0.0790   0.1997   0.0411   1.0000   0.0790
00095_style3      0.0409   0.0786   0.1956   0.0409   1.0000   0.0786
00095_style4      0.0860   0.1583   0.6351   0.0860   1.0000   0.1583
00095_style5      0.0564   0.1067   0.4253   0.0564   1.0000   0.1067
00095_style6      0.0594   0.1121   0.4562   0.0594   1.0000   0.1121
00095_style7      0.1033   0.1872   0.7446   0.1051   0.8571   0.1872
00099             0.5226   0.6865   0.7938   0.6519   0.7249   0.6865
00099_style0      0.4394   0.6105   0.6039   0.4400   0.9970   0.6105
00099_style1      0.3482   0.5166   0.4197   0.3488   0.9955   0.5166
00099_style2      0.3675   0.5374   0.4639   0.3675   1.0000   0.5374
00099_style3      0.3545   0.5235   0.4330   0.3545   1.0000   0.5235
00099_style4      0.5180   0.6825   0.7185   0.5260   0.9716   0.6825
00099_style5      0.4729   0.6421   0.6805   0.4931   0.9203   0.6421
