======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet50
Checkpoint: ./model/resnet50-unet-aug/loss3_bce_ftv_lap/resnet50_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.2394 ± 0.2007
DICE: 0.3475 ± 0.2428
ACCURACY: 0.5888 ± 0.2581
PRECISION: 0.2671 ± 0.2344
RECALL: 0.8685 ± 0.1880
F1: 0.3475 ± 0.2428


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00081             0.8195   0.9008   0.9616   0.8595   0.9463   0.9008
00081_style0      0.6195   0.7651   0.9062   0.7108   0.8284   0.7651
00081_style1      0.1976   0.3299   0.2515   0.1976   1.0000   0.3299
00081_style2      0.3103   0.4736   0.5903   0.3103   1.0000   0.4736
00081_style3      0.5740   0.7294   0.8680   0.5861   0.9653   0.7294
00081_style4      0.4727   0.6419   0.7944   0.4727   1.0000   0.6419
00081_style5      0.7745   0.8729   0.9486   0.8014   0.9585   0.8729
00081_style6      0.6018   0.7514   0.8891   0.6401   0.9095   0.7514
00081_style7      0.5177   0.6822   0.8288   0.5185   0.9970   0.6822
00089             0.3700   0.5402   0.8609   0.5778   0.5071   0.5402
00089_style0      0.2215   0.3627   0.5985   0.2436   0.7093   0.3627
00089_style1      0.1676   0.2871   0.2012   0.1677   0.9985   0.2871
00089_style2      0.1989   0.3319   0.4911   0.2104   0.7846   0.3319
00089_style3      0.2079   0.3442   0.4479   0.2128   0.8993   0.3442
00089_style4      0.2229   0.3646   0.6872   0.2710   0.5571   0.3646
00089_style5      0.3001   0.4617   0.8314   0.4753   0.4488   0.4617
00089_style6      0.2319   0.3765   0.7271   0.2979   0.5114   0.3765
00089_style7      0.1895   0.3186   0.7182   0.2609   0.4090   0.3186
00094             0.2743   0.4305   0.8142   0.3169   0.6710   0.4305
00094_style0      0.1318   0.2330   0.4539   0.1366   0.7923   0.2330
00094_style1      0.1094   0.1973   0.1483   0.1094   1.0000   0.1973
00094_style2      0.1305   0.2308   0.3081   0.1306   0.9918   0.2308
00094_style3      0.1285   0.2278   0.3124   0.1291   0.9688   0.2278
00094_style4      0.3125   0.4762   0.7973   0.3264   0.8802   0.4762
00094_style5      0.3576   0.5268   0.8492   0.3922   0.8020   0.5268
00094_style6      0.2061   0.3418   0.6531   0.2132   0.8604   0.3418
00094_style7      0.1847   0.3118   0.7543   0.2206   0.5318   0.3118
00095             0.2237   0.3656   0.9011   0.2344   0.8304   0.3656
00095_style0      0.0702   0.1312   0.5453   0.0702   1.0000   0.1312
00095_style1      0.0360   0.0695   0.0803   0.0360   1.0000   0.0695
00095_style2      0.0403   0.0776   0.1836   0.0403   1.0000   0.0776
00095_style3      0.0432   0.0829   0.2405   0.0432   1.0000   0.0829
00095_style4      0.1339   0.2363   0.7816   0.1342   0.9843   0.2363
00095_style5      0.1678   0.2874   0.8391   0.1694   0.9454   0.2874
00095_style6      0.1109   0.1997   0.7250   0.1109   1.0000   0.1997
00095_style7      0.4298   0.6012   0.9552   0.4327   0.9843   0.6012
00099             0.4575   0.6277   0.7528   0.5911   0.6692   0.6277
00099_style0      0.4250   0.5965   0.6533   0.4678   0.8230   0.5965
00099_style1      0.3254   0.4910   0.3544   0.3254   1.0000   0.4910
