======================================================================
EVALUATION RESULTS - CORRECT VERSION
======================================================================

Model: resnet18-aug
Checkpoint: ./model/resnet18-unet-aug/resnet18_best_dice.pth
Test set: ./dataset/augmented/test
Num samples: 522
Mask encoding: 0=background, >0=disease

IOU: 0.2748 ± 0.2088
DICE: 0.3915 ± 0.2452
ACCURACY: 0.7018 ± 0.1991
PRECISION: 0.3112 ± 0.2453
RECALL: 0.8248 ± 0.2012
F1: 0.3915 ± 0.2452


PER-IMAGE RESULTS:
Name                 IoU     Dice      Acc     Prec   Recall       F1
00370_style0      0.1658   0.2845   0.6126   0.1660   0.9954   0.2845
00370_style1      0.0956   0.1746   0.2683   0.0956   1.0000   0.1746
00370_style2      0.0950   0.1734   0.2626   0.0950   1.0000   0.1734
00370_style3      0.1199   0.2141   0.4321   0.1199   1.0000   0.2141
00370_style4      0.3197   0.4845   0.8354   0.3197   1.0000   0.4845
00370_style5      0.3661   0.5360   0.8667   0.3668   0.9951   0.5360
00370_style6      0.1863   0.3141   0.6637   0.1865   0.9954   0.3141
00370_style7      0.1773   0.3012   0.6410   0.1773   1.0000   0.3012
00373             0.7774   0.8747   0.9618   0.9204   0.8334   0.8747
00373_style0      0.6697   0.8022   0.9464   0.9822   0.6779   0.8022
00373_style1      0.2660   0.4202   0.5757   0.2690   0.9598   0.4202
00373_style2      0.3498   0.5183   0.7184   0.3570   0.9460   0.5183
00373_style3      0.7996   0.8887   0.9662   0.9392   0.8433   0.8887
00373_style4      0.7574   0.8620   0.9503   0.7764   0.9688   0.8620
00373_style5      0.7886   0.8818   0.9621   0.8815   0.8822   0.8818
00373_style6      0.7905   0.8830   0.9640   0.9206   0.8483   0.8830
00373_style7      0.6244   0.7688   0.9047   0.6287   0.9892   0.7688
00387             0.6529   0.7900   0.8314   0.7719   0.8090   0.7900
00387_style0      0.5768   0.7316   0.7561   0.6435   0.8477   0.7316
00387_style1      0.4569   0.6272   0.5454   0.4622   0.9755   0.6272
00387_style2      0.4710   0.6404   0.5937   0.4904   0.9226   0.6404
00387_style3      0.5133   0.6784   0.6433   0.5247   0.9592   0.6784
00387_style4      0.7120   0.8318   0.8571   0.7726   0.9008   0.8318
00387_style5      0.6808   0.8101   0.8327   0.7298   0.9103   0.8101
00387_style6      0.6173   0.7633   0.7948   0.6968   0.8439   0.7633
00387_style7      0.6597   0.7949   0.8234   0.7298   0.8728   0.7949
00389             0.5942   0.7455   0.9715   0.7236   0.7687   0.7455
00389_style0      0.1039   0.1882   0.7061   0.1107   0.6274   0.1882
00389_style1      0.0723   0.1348   0.3598   0.0727   0.9185   0.1348
00389_style2      0.0758   0.1410   0.3545   0.0760   0.9758   0.1410
00389_style3      0.0868   0.1598   0.4711   0.0874   0.9262   0.1598
00389_style4      0.1398   0.2453   0.6819   0.1408   0.9523   0.2453
00389_style5      0.3585   0.5278   0.9153   0.3784   0.8722   0.5278
00389_style6      0.1354   0.2385   0.6809   0.1370   0.9203   0.2385
00389_style7      0.1476   0.2572   0.7933   0.1598   0.6590   0.2572
00429             0.0993   0.1807   0.8137   0.0997   0.9609   0.1807
00429_style0      0.0640   0.1203   0.6896   0.0640   0.9925   0.1203
00429_style1      0.0247   0.0482   0.1606   0.0247   0.9944   0.0482
00429_style2      0.0250   0.0488   0.1660   0.0250   1.0000   0.0488
00429_style3      0.0370   0.0715   0.4442   0.0370   1.0000   0.0715
00429_style4      0.0883   0.1623   0.7792   0.0883   1.0000   0.1623
00429_style5      0.1245   0.2214   0.8506   0.1246   0.9935   0.2214
00429_style6      0.0770   0.1429   0.7541   0.0772   0.9590   0.1429
00429_style7      0.0488   0.0930   0.5829   0.0488   1.0000   0.0930
00432             0.4852   0.6534   0.7054   0.5052   0.9246   0.6534
00432_style0      0.3303   0.4966   0.6534   0.4404   0.5692   0.4966
00432_style1      0.3391   0.5065   0.4408   0.3445   0.9557   0.5065
00432_style2      0.3605   0.5299   0.4783   0.3632   0.9793   0.5299
00432_style3      0.3789   0.5496   0.5765   0.4037   0.8605   0.5496
00432_style4      0.4361   0.6073   0.7149   0.5178   0.7343   0.6073
00432_style5      0.4318   0.6032   0.7031   0.5037   0.7516   0.6032
00432_style6      0.4158   0.5874   0.6784   0.4777   0.7623   0.5874
00432_style7      0.4948   0.6620   0.7908   0.6430   0.6823   0.6620
00459             0.2191   0.3595   0.9291   0.2288   0.8380   0.3595
00459_style0      0.0587   0.1109   0.6599   0.0591   0.8934   0.1109
00459_style1      0.0389   0.0748   0.5244   0.0392   0.8102   0.0748
00459_style2      0.0302   0.0587   0.2843   0.0303   0.9404   0.0587
00459_style3      0.0642   0.1206   0.7029   0.0648   0.8581   0.1206
00459_style4      0.1218   0.2172   0.8477   0.1237   0.8900   0.2172
00459_style5      0.2113   0.3488   0.9322   0.2259   0.7649   0.3488
00459_style6      0.1699   0.2905   0.8951   0.1730   0.9043   0.2905
00459_style7      0.1593   0.2748   0.8897   0.1628   0.8808   0.2748
00464             0.2148   0.3536   0.9095   0.2387   0.6820   0.3536
00464_style0      0.0982   0.1789   0.6709   0.0983   0.9879   0.1789
00464_style1      0.0457   0.0875   0.2429   0.0457   1.0000   0.0875
00464_style2      0.0450   0.0862   0.2305   0.0450   1.0000   0.0862
00464_style3      0.0483   0.0922   0.2854   0.0483   1.0000   0.0922
00464_style4      0.1254   0.2228   0.7966   0.1293   0.8034   0.2228
00464_style5      0.1258   0.2234   0.7809   0.1282   0.8688   0.2234
00464_style6      0.0952   0.1738   0.6552   0.0952   0.9995   0.1738
00464_style7      0.1200   0.2143   0.7683   0.1222   0.8710   0.2143
00470             0.7534   0.8593   0.9844   0.7938   0.9366   0.8593
00470_style0      0.2596   0.4122   0.8610   0.2627   0.9566   0.4122
00470_style1      0.0710   0.1326   0.3332   0.0710   1.0000   0.1326
00470_style2      0.0869   0.1600   0.4720   0.0871   0.9867   0.1600
00470_style3      0.0899   0.1649   0.4954   0.0901   0.9777   0.1649
00470_style4      0.4370   0.6082   0.9346   0.4377   0.9965   0.6082
00470_style5      0.5975   0.7481   0.9680   0.6243   0.9331   0.7481
00470_style6      0.5121   0.6774   0.9535   0.5241   0.9574   0.6774
00470_style7      0.3926   0.5638   0.9283   0.4085   0.9097   0.5638
00517             0.2495   0.3994   0.7440   0.2523   0.9572   0.3994
00517_style0      0.1717   0.2930   0.5709   0.1717   1.0000   0.2930
00517_style1      0.1265   0.2246   0.3859   0.1265   1.0000   0.2246
00517_style2      0.1938   0.3247   0.6352   0.1944   0.9863   0.3247
00517_style3      0.1789   0.3034   0.5917   0.1789   1.0000   0.3034
00517_style4      0.3526   0.5214   0.8487   0.3628   0.9265   0.5214
00517_style5      0.2460   0.3948   0.7362   0.2480   0.9675   0.3948
00517_style6      0.2757   0.4323   0.7808   0.2808   0.9386   0.4323
00517_style7      0.2662   0.4204   0.8153   0.2916   0.7532   0.4204
00554             0.6109   0.7584   0.8976   0.7018   0.8250   0.7584
00554_style0      0.3904   0.5616   0.7022   0.3938   0.9783   0.5616
00554_style1      0.3113   0.4749   0.5932   0.3173   0.9436   0.4749
00554_style2      0.2876   0.4468   0.5172   0.2876   1.0000   0.4468
00554_style3      0.3534   0.5223   0.6462   0.3544   0.9919   0.5223
00554_style4      0.5545   0.7134   0.8533   0.5761   0.9364   0.7134
00554_style5      0.6136   0.7605   0.9014   0.7221   0.8032   0.7605
00554_style6      0.5269   0.6901   0.8445   0.5642   0.8884   0.6901
00554_style7      0.5909   0.7428   0.8818   0.6450   0.8757   0.7428
00558             0.0039   0.0077   0.9183   0.0042   0.0514   0.0077
00558_style0      0.0058   0.0114   0.7761   0.0059   0.2090   0.0114
00558_style1      0.0080   0.0159   0.2317   0.0080   1.0000   0.0159
00558_style2      0.0030   0.0059   0.5655   0.0030   0.2090   0.0059
00558_style3      0.0026   0.0052   0.6964   0.0027   0.1286   0.0052
00558_style4      0.0243   0.0475   0.7864   0.0244   0.8585   0.0475
00558_style5      0.0213   0.0417   0.8160   0.0216   0.6463   0.0417
00558_style6      0.0173   0.0341   0.7697   0.0175   0.6559   0.0341
00558_style7      0.0173   0.0339   0.7799   0.0174   0.6238   0.0339
00560             0.5065   0.6724   0.9049   0.6350   0.7145   0.6724
00560_style0      0.2411   0.3885   0.6576   0.2570   0.7957   0.3885
00560_style1      0.2258   0.3684   0.5997   0.2348   0.8542   0.3684
00560_style2      0.2095   0.3465   0.5461   0.2157   0.8806   0.3465
00560_style3      0.2270   0.3699   0.5981   0.2354   0.8634   0.3699
00560_style4      0.2540   0.4051   0.6976   0.2770   0.7535   0.4051
00560_style5      0.3448   0.5128   0.8358   0.4313   0.6322   0.5128
00560_style6      0.2929   0.4531   0.7828   0.3454   0.6585   0.4531
00560_style7      0.3532   0.5221   0.8211   0.4112   0.7149   0.5221
00565             0.2865   0.4454   0.9531   0.2870   0.9937   0.4454
00565_style0      0.0869   0.1598   0.8096   0.0872   0.9568   0.1598
00565_style1      0.0207   0.0405   0.1026   0.0207   1.0000   0.0405
00565_style2      0.0285   0.0554   0.3542   0.0285   1.0000   0.0554
00565_style3      0.0249   0.0486   0.2591   0.0249   1.0000   0.0486
00565_style4      0.0541   0.1026   0.6688   0.0541   1.0000   0.1026
00565_style5      0.0644   0.1211   0.7288   0.0645   0.9863   0.1211
00565_style6      0.0457   0.0874   0.6050   0.0457   0.9989   0.0874
00565_style7      0.0345   0.0666   0.4697   0.0345   1.0000   0.0666
00573             0.5489   0.7088   0.8999   0.6421   0.7910   0.7088
00573_style0      0.3463   0.5144   0.7383   0.3601   0.9000   0.5144
00573_style1      0.2214   0.3625   0.5202   0.2279   0.8857   0.3625
00573_style2      0.2238   0.3658   0.4668   0.2239   0.9982   0.3658
00573_style3      0.3004   0.4620   0.6438   0.3010   0.9931   0.4620
00573_style4      0.4942   0.6614   0.8439   0.4967   0.9898   0.6614
00573_style5      0.4489   0.6196   0.8514   0.5114   0.7860   0.6196
00573_style6      0.4212   0.5927   0.8340   0.4764   0.7842   0.5927
00573_style7      0.4534   0.6239   0.8334   0.4782   0.8973   0.6239
00578             0.4574   0.6277   0.8588   0.4752   0.9243   0.6277
00578_style0      0.2502   0.4002   0.6504   0.2569   0.9058   0.4002
00578_style1      0.0783   0.1452   0.4290   0.0900   0.3766   0.1452
00578_style2      0.2023   0.3365   0.5380   0.2064   0.9095   0.3365
00578_style3      0.2016   0.3356   0.6057   0.2143   0.7729   0.3356
00578_style4      0.4902   0.6579   0.8985   0.5814   0.7577   0.6579
00578_style5      0.3534   0.5222   0.7953   0.3734   0.8683   0.5222
00578_style6      0.3743   0.5448   0.7977   0.3836   0.9397   0.5448
00578_style7      0.4690   0.6385   0.9043   0.6215   0.6565   0.6385
00580             0.7713   0.8709   0.8091   0.8596   0.8825   0.8709
00580_style0      0.7315   0.8450   0.7574   0.7918   0.9058   0.8450
00580_style1      0.7392   0.8500   0.7574   0.7743   0.9421   0.8500
00580_style2      0.4675   0.6371   0.5674   0.8216   0.5203   0.6371
00580_style3      0.6118   0.7592   0.6809   0.8451   0.6891   0.7592
00580_style4      0.6911   0.8173   0.7564   0.9030   0.7465   0.8173
00580_style5      0.5770   0.7318   0.6368   0.7936   0.6789   0.7318
00580_style6      0.7482   0.8560   0.7762   0.8069   0.9115   0.8560
00580_style7      0.5038   0.6700   0.6124   0.8846   0.5392   0.6700
00581             0.6633   0.7975   0.8524   0.7565   0.8433   0.7975
00581_style0      0.5877   0.7403   0.8177   0.7276   0.7535   0.7403
00581_style1      0.4526   0.6232   0.6021   0.4627   0.9542   0.6232
00581_style2      0.4610   0.6311   0.6136   0.4704   0.9584   0.6311
00581_style3      0.4993   0.6660   0.6628   0.5057   0.9750   0.6660
00581_style4      0.6796   0.8092   0.8431   0.6968   0.9649   0.8092
00581_style5      0.6711   0.8032   0.8490   0.7293   0.8937   0.8032
00581_style6      0.6169   0.7630   0.8073   0.6624   0.8997   0.7630
00581_style7      0.5750   0.7301   0.8175   0.7448   0.7160   0.7301
